image_path,label,lm_0_x,lm_0_y,lm_0_z,lm_0_visability,lm_1_x,lm_1_y,lm_1_z,lm_1_visability,lm_2_x,lm_2_y,lm_2_z,lm_2_visability,lm_3_x,lm_3_y,lm_3_z,lm_3_visability,lm_4_x,lm_4_y,lm_4_z,lm_4_visability,lm_5_x,lm_5_y,lm_5_z,lm_5_visability,lm_6_x,lm_6_y,lm_6_z,lm_6_visability,lm_7_x,lm_7_y,lm_7_z,lm_7_visability,lm_8_x,lm_8_y,lm_8_z,lm_8_visability,lm_9_x,lm_9_y,lm_9_z,lm_9_visability,lm_10_x,lm_10_y,lm_10_z,lm_10_visability,lm_11_x,lm_11_y,lm_11_z,lm_11_visability,lm_12_x,lm_12_y,lm_12_z,lm_12_visability,lm_13_x,lm_13_y,lm_13_z,lm_13_visability,lm_14_x,lm_14_y,lm_14_z,lm_14_visability,lm_15_x,lm_15_y,lm_15_z,lm_15_visability,lm_16_x,lm_16_y,lm_16_z,lm_16_visability,lm_17_x,lm_17_y,lm_17_z,lm_17_visability,lm_18_x,lm_18_y,lm_18_z,lm_18_visability,lm_19_x,lm_19_y,lm_19_z,lm_19_visability,lm_20_x,lm_20_y,lm_20_z,lm_20_visability,lm_21_x,lm_21_y,lm_21_z,lm_21_visability,lm_22_x,lm_22_y,lm_22_z,lm_22_visability,lm_23_x,lm_23_y,lm_23_z,lm_23_visability,lm_24_x,lm_24_y,lm_24_z,lm_24_visability,lm_25_x,lm_25_y,lm_25_z,lm_25_visability,lm_26_x,lm_26_y,lm_26_z,lm_26_visability,lm_27_x,lm_27_y,lm_27_z,lm_27_visability,lm_28_x,lm_28_y,lm_28_z,lm_28_visability,lm_29_x,lm_29_y,lm_29_z,lm_29_visability,lm_30_x,lm_30_y,lm_30_z,lm_30_visability,lm_31_x,lm_31_y,lm_31_z,lm_31_visability,lm_32_x,lm_32_y,lm_32_z,lm_32_visability
dataset\badform\10.jpg,1,-0.39732056856155396,-0.3676506280899048,-0.13365696370601654,0.9999486207962036,-0.39938536286354065,-0.4069448411464691,-0.1552383154630661,0.9999674558639526,-0.399159699678421,-0.40749239921569824,-0.15416769683361053,0.9999781847000122,-0.3996882438659668,-0.40769925713539124,-0.15411485731601715,0.9999744892120361,-0.4085858166217804,-0.4062405228614807,-0.12096714228391647,0.9999328851699829,-0.40878409147262573,-0.4066539406776428,-0.1226382702589035,0.9999440908432007,-0.40998926758766174,-0.407764196395874,-0.1211986243724823,0.9999363422393799,-0.2914953827857971,-0.44940826296806335,-0.17431442439556122,0.9999897480010986,-0.3532189428806305,-0.44655847549438477,-0.03942457586526871,0.9999730587005615,-0.34371092915534973,-0.37093350291252136,-0.13803958892822266,0.9999921321868896,-0.36042410135269165,-0.3681246340274811,-0.09750782698392868,0.9999560117721558,-0.06036466360092163,-0.39895889163017273,-0.11457720398902893,0.9999983310699463,-0.33474692702293396,-0.3627409040927887,0.07034767419099808,0.9998522996902466,0.14682313799858093,-0.3887876272201538,-0.24895928800106049,0.998033344745636,-0.43870455026626587,-0.3588100075721741,0.3196411430835724,0.8284446001052856,0.20594586431980133,-0.45392850041389465,-0.38357850909233093,0.9918644428253174,-0.6057165861129761,-0.38945043087005615,0.4608153998851776,0.9351738691329956,0.2250394970178604,-0.4704797863960266,-0.4026612341403961,0.974388599395752,-0.6326602697372437,-0.3969018757343292,0.4943520426750183,0.8964406251907349,0.2078075110912323,-0.45711836218833923,-0.4177287518978119,0.9734935760498047,-0.6315606832504272,-0.38480615615844727,0.4907224774360657,0.8875138759613037,0.20147766172885895,-0.4498138725757599,-0.392206609249115,0.9599934220314026,-0.6064900755882263,-0.38659775257110596,0.4651114344596863,0.8739376068115234,0.10693353414535522,-0.022588133811950684,-0.06544749438762665,0.999954342842102,-0.10799457877874374,0.022214703261852264,0.06622384488582611,0.9999022483825684,-0.02507758140563965,0.1890428364276886,-0.42600926756858826,0.9959213733673096,-0.34883299469947815,0.09122338145971298,-0.16516602039337158,0.9825483560562134,0.05170336365699768,0.5071060061454773,-0.43652936816215515,0.9890640377998352,-0.24208015203475952,0.48258885741233826,-0.1933864951133728,0.9599498510360718,0.06934961676597595,0.550552248954773,-0.43934616446495056,0.9845653176307678,-0.2286101132631302,0.538865327835083,-0.20082132518291473,0.9700214862823486,-0.00803762674331665,0.6307474374771118,-0.5326820611953735,0.9900416731834412,-0.34229326248168945,0.6381284594535828,-0.25995251536369324,0.9754744172096252
dataset\badform\100.jpg,1,-0.4414014220237732,-0.37105032801628113,-0.12353578209877014,0.9999527931213379,-0.4416220486164093,-0.411384642124176,-0.1421477198600769,0.9999701976776123,-0.4412708878517151,-0.41188475489616394,-0.14110006392002106,0.9999800324440002,-0.4416663944721222,-0.41211220622062683,-0.14119336009025574,0.999976634979248,-0.4500187337398529,-0.4088217616081238,-0.10759807378053665,0.9999386072158813,-0.4502377212047577,-0.4093032777309418,-0.10926955938339233,0.9999487996101379,-0.4512645900249481,-0.41040703654289246,-0.10793888568878174,0.9999417662620544,-0.32663261890411377,-0.45190349221229553,-0.1581997275352478,0.9999905824661255,-0.3836079239845276,-0.44623106718063354,-0.022458890452980995,0.999975323677063,-0.38504818081855774,-0.3728698790073395,-0.1288287192583084,0.9999927878379822,-0.4005776345729828,-0.36890655755996704,-0.08797512948513031,0.9999595284461975,-0.0833459421992302,-0.3988964855670929,-0.10967869311571121,0.9999983310699463,-0.3517480194568634,-0.34788310527801514,0.07786766439676285,0.9998571276664734,0.13431881368160248,-0.39280179142951965,-0.26033124327659607,0.9981157183647156,-0.45671936869621277,-0.3437386453151703,0.3210662603378296,0.8276541829109192,0.15369339287281036,-0.4619300663471222,-0.40430331230163574,0.9914170503616333,-0.6503138542175293,-0.3719804883003235,0.46126317977905273,0.9284632802009583,0.1624915897846222,-0.48121654987335205,-0.42160382866859436,0.9727864265441895,-0.6817220449447632,-0.38062575459480286,0.49427464604377747,0.8837242722511292,0.1393090933561325,-0.4722355902194977,-0.4305359423160553,0.9719337224960327,-0.6876469850540161,-0.36982783675193787,0.49069705605506897,0.8756876587867737,0.14462274312973022,-0.4588069021701813,-0.4097929000854492,0.9580055475234985,-0.6556071043014526,-0.3681160807609558,0.46518921852111816,0.8632111549377441,0.10431013256311417,-0.023344524204730988,-0.0662432461977005,0.9999552965164185,-0.10534040629863739,0.023019040003418922,0.0669470801949501,0.9999011158943176,-0.07104314863681793,0.1774899661540985,-0.4274633228778839,0.9960136413574219,-0.3279881775379181,0.10697594285011292,-0.15753695368766785,0.9818763136863708,0.05110887065529823,0.4996160864830017,-0.45416125655174255,0.9896854758262634,-0.22618365287780762,0.4824666380882263,-0.1789858490228653,0.9594768285751343,0.06952248513698578,0.5436577200889587,-0.45822784304618835,0.9848250150680542,-0.21360473334789276,0.5377833247184753,-0.18592360615730286,0.9683488011360168,-0.007326520048081875,0.6193163990974426,-0.5578436851501465,0.9905616044998169,-0.31989455223083496,0.6315096616744995,-0.2517890930175781,0.9751653671264648
dataset\badform\101.jpg,1,-0.45480647683143616,-0.35356462001800537,-0.13419660925865173,0.9999560117721558,-0.4563938081264496,-0.3957165777683258,-0.15015234053134918,0.9999724626541138,-0.45598354935646057,-0.39612075686454773,-0.14918400347232819,0.9999814033508301,-0.4564037024974823,-0.3963179588317871,-0.14933012425899506,0.9999783635139465,-0.4660020172595978,-0.39019346237182617,-0.11579101532697678,0.9999433159828186,-0.4662242531776428,-0.3906533718109131,-0.11755098402500153,0.999952495098114,-0.46727123856544495,-0.39172422885894775,-0.1162630245089531,0.9999462962150574,-0.3430200517177582,-0.44386348128318787,-0.15847182273864746,0.999991238117218,-0.4047728478908539,-0.4254111051559448,-0.02304397150874138,0.9999772906303406,-0.39813774824142456,-0.35854169726371765,-0.13698838651180267,0.9999933242797852,-0.4152194857597351,-0.3511103689670563,-0.09624837338924408,0.9999625086784363,-0.0992204025387764,-0.3905249238014221,-0.11014876514673233,0.9999982118606567,-0.36126571893692017,-0.33970504999160767,0.07573413103818893,0.9998569488525391,0.12488824129104614,-0.39273935556411743,-0.2659148573875427,0.9980974197387695,-0.4553532898426056,-0.34936052560806274,0.3219034969806671,0.812341570854187,0.13534334301948547,-0.4617026448249817,-0.40308573842048645,0.9898043274879456,-0.6461830735206604,-0.37682655453681946,0.46546220779418945,0.9149847030639648,0.14336657524108887,-0.4810262620449066,-0.4206116199493408,0.9682819843292236,-0.6776158213615417,-0.38377121090888977,0.4990438222885132,0.866163432598114,0.11662270128726959,-0.47144168615341187,-0.42779740691185,0.9671944975852966,-0.6825453042984009,-0.3706936538219452,0.4915255010128021,0.8591289520263672,0.12439247220754623,-0.458446741104126,-0.4083905518054962,0.9513757824897766,-0.6514944434165955,-0.37049242854118347,0.46714672446250916,0.8484724164009094,0.10263759642839432,-0.023554913699626923,-0.06679156422615051,0.9999529123306274,-0.10372523963451385,0.02322932332754135,0.06744252890348434,0.9998902082443237,-0.08396926522254944,0.16905412077903748,-0.4274541437625885,0.9959334135055542,-0.3296147584915161,0.10673197358846664,-0.150173619389534,0.9801141619682312,0.04940912872552872,0.4882892072200775,-0.44082802534103394,0.9897955656051636,-0.22353950142860413,0.46206119656562805,-0.1524551659822464,0.9563212990760803,0.0694606676697731,0.532432496547699,-0.442349374294281,0.9836151599884033,-0.2095373421907425,0.5135554671287537,-0.1566837728023529,0.9650089740753174,-0.005039405543357134,0.6110831499099731,-0.5454699397087097,0.9906026721000671,-0.30638831853866577,0.6091158390045166,-0.2244507521390915,0.9734192490577698
dataset\badform\102.jpg,1,-0.4536714553833008,-0.3547479510307312,-0.13194671273231506,0.9999590516090393,-0.4550868570804596,-0.3972817063331604,-0.14886382222175598,0.9999745488166809,-0.4547114968299866,-0.3976806700229645,-0.14786869287490845,0.9999827742576599,-0.45515120029449463,-0.3978574573993683,-0.1480003297328949,0.9999800324440002,-0.46327918767929077,-0.3913315534591675,-0.11378037184476852,0.999947726726532,-0.4635387063026428,-0.3918432593345642,-0.11552417278289795,0.9999561309814453,-0.46458613872528076,-0.3929049074649811,-0.11425115168094635,0.999950647354126,-0.3413751721382141,-0.44559246301651,-0.15957686305046082,0.9999918341636658,-0.3983083963394165,-0.4263021945953369,-0.02313189208507538,0.9999791979789734,-0.39712396264076233,-0.35960179567337036,-0.1361895650625229,0.9999938607215881,-0.41243216395378113,-0.3518512547016144,-0.09470648318529129,0.9999654293060303,-0.09806468337774277,-0.3918527066707611,-0.1113981157541275,0.9999982118606567,-0.3594139516353607,-0.3412894904613495,0.07547353953123093,0.9998636841773987,0.12076399475336075,-0.39717382192611694,-0.28429102897644043,0.9981145262718201,-0.4573866128921509,-0.3539585471153259,0.3228258192539215,0.8133967518806458,0.11894921958446503,-0.4688606858253479,-0.4334929585456848,0.989115297794342,-0.6559337973594666,-0.3810834586620331,0.4699613153934479,0.9141408801078796,0.12303399294614792,-0.49004483222961426,-0.45275193452835083,0.9661255478858948,-0.6897869110107422,-0.38925033807754517,0.5035077929496765,0.8634743094444275,0.09713812172412872,-0.48062199354171753,-0.45389261841773987,0.9649270176887512,-0.694341242313385,-0.37472784519195557,0.496332585811615,0.8569570183753967,0.10727836936712265,-0.4654962122440338,-0.43698930740356445,0.948032796382904,-0.6619225740432739,-0.3738839030265808,0.47163712978363037,0.8468234539031982,0.10121285170316696,-0.023642193526029587,-0.06761179864406586,0.999954879283905,-0.10231655836105347,0.02332347072660923,0.06821716576814651,0.999893069267273,-0.09767121076583862,0.16908472776412964,-0.42806386947631836,0.9961256384849548,-0.33081793785095215,0.10742984712123871,-0.1383167952299118,0.9800187945365906,0.04627986624836922,0.48773109912872314,-0.4397672712802887,0.9904791116714478,-0.22737561166286469,0.46349063515663147,-0.13647165894508362,0.9571011662483215,0.0684569776058197,0.5319563746452332,-0.44105881452560425,0.9841342568397522,-0.2137298285961151,0.5157967209815979,-0.14075157046318054,0.9642854928970337,-0.00540607376024127,0.6107680201530457,-0.5447317361831665,0.991169810295105,-0.3087010383605957,0.6098726391792297,-0.20539696514606476,0.9739605188369751
dataset\badform\103.jpg,1,-0.4303781986236572,-0.374093234539032,-0.13786596059799194,0.9999624490737915,-0.43206480145454407,-0.41676899790763855,-0.15399542450904846,0.9999765157699585,-0.43175914883613586,-0.41718220710754395,-0.1530643254518509,0.9999841451644897,-0.4321739077568054,-0.417436808347702,-0.15327289700508118,0.9999816417694092,-0.4439934194087982,-0.40896502137184143,-0.12018818408250809,0.9999518394470215,-0.4442652761936188,-0.40950343012809753,-0.1219375729560852,0.9999595284461975,-0.44518545269966125,-0.41053980588912964,-0.12071332335472107,0.9999544620513916,-0.32014575600624084,-0.4665839374065399,-0.16022905707359314,0.9999924898147583,-0.3898099660873413,-0.4385007619857788,-0.025175997987389565,0.9999808669090271,-0.3741132616996765,-0.37969735264778137,-0.13963451981544495,0.9999943375587463,-0.3934466540813446,-0.3695591986179352,-0.09936587512493134,0.9999681711196899,-0.07423447072505951,-0.40472495555877686,-0.10920707136392593,0.9999982714653015,-0.3500330150127411,-0.3425711691379547,0.07465431094169617,0.999871015548706,0.15950925648212433,-0.4042472243309021,-0.2621341049671173,0.9982556104660034,-0.4364546537399292,-0.34679749608039856,0.3021630644798279,0.8174273371696472,0.1486533135175705,-0.47697576880455017,-0.40670737624168396,0.9895607233047485,-0.615236222743988,-0.3813273310661316,0.42636141180992126,0.9113965630531311,0.1387178748846054,-0.49654620885849,-0.4250252842903137,0.9668713808059692,-0.6395213007926941,-0.3900558054447174,0.4545930027961731,0.8542366623878479,0.10947223007678986,-0.49039286375045776,-0.42458677291870117,0.9657633304595947,-0.6550151705741882,-0.37712374329566956,0.4513784646987915,0.8470050692558289,0.13482306897640228,-0.47526225447654724,-0.40752270817756653,0.9492756724357605,-0.6227418184280396,-0.37488651275634766,0.42793312668800354,0.8368917107582092,0.10095415264368057,-0.02385871484875679,-0.06737110763788223,0.9999554753303528,-0.10204800963401794,0.02357010543346405,0.0679350420832634,0.9998922348022461,-0.08986487239599228,0.20651040971279144,-0.3975065052509308,0.9958041906356812,-0.3060937821865082,0.17469103634357452,-0.14032825827598572,0.9789142608642578,0.0471254363656044,0.551018238067627,-0.44204315543174744,0.9906878471374512,-0.2245887815952301,0.5445446372032166,-0.1575835645198822,0.955278217792511,0.06998462229967117,0.5967434644699097,-0.44698187708854675,0.9835317730903625,-0.21265891194343567,0.596778929233551,-0.1660270243883133,0.9617317914962769,-0.0010660775005817413,0.6663177013397217,-0.5567962527275085,0.9913013577461243,-0.3115839660167694,0.679404079914093,-0.24427470564842224,0.9734926819801331
dataset\badform\11.jpg,1,-0.4160403311252594,-0.4018543064594269,-0.11726930737495422,0.9999642372131348,-0.41465097665786743,-0.4433068037033081,-0.134832501411438,0.9999775290489197,-0.41429010033607483,-0.44378456473350525,-0.13386206328868866,0.999984860420227,-0.4147900938987732,-0.44401711225509644,-0.13393226265907288,0.9999823570251465,-0.4265144169330597,-0.43892234563827515,-0.10028911381959915,0.999954104423523,-0.4267846941947937,-0.4394463896751404,-0.1019880473613739,0.9999615550041199,-0.4277206063270569,-0.4405619204044342,-0.10069452971220016,0.9999568462371826,-0.2993999421596527,-0.4850296676158905,-0.1439957320690155,0.9999927282333374,-0.36954212188720703,-0.4703144431114197,-0.007544985506683588,0.9999819993972778,-0.35981932282447815,-0.4036184847354889,-0.11949887126684189,0.9999945163726807,-0.3794390857219696,-0.39733123779296875,-0.07858670502901077,0.999969482421875,-0.0669223889708519,-0.4171190857887268,-0.08901549875736237,0.9999982714653015,-0.3400149643421173,-0.35880160331726074,0.09734587371349335,0.9998729825019836,0.15747106075286865,-0.40388309955596924,-0.23222249746322632,0.9983051419258118,-0.43570294976234436,-0.3472835123538971,0.350688099861145,0.824329674243927,0.19835154712200165,-0.4786401689052582,-0.38938477635383606,0.9900409579277039,-0.6044032573699951,-0.39407119154930115,0.5061172842979431,0.9168393611907959,0.2174513339996338,-0.5011439919471741,-0.4058617353439331,0.9682210087776184,-0.6260370016098022,-0.40646782517433167,0.5380995273590088,0.8615768551826477,0.20385874807834625,-0.4929320812225342,-0.4177633821964264,0.967258095741272,-0.634919285774231,-0.40154093503952026,0.5437557697296143,0.8546198606491089,0.19525104761123657,-0.4769144654273987,-0.39615312218666077,0.9514997601509094,-0.6083195805549622,-0.3926117718219757,0.5136387944221497,0.8442701697349548,0.10147303342819214,-0.02391822822391987,-0.06724590808153152,0.9999538660049438,-0.1025596484541893,0.023622451350092888,0.06781714409589767,0.9998911619186401,-0.04120718315243721,0.2033904790878296,-0.40270841121673584,0.9958353042602539,-0.3098740577697754,0.1630418300628662,-0.1478462517261505,0.9795743823051453,0.049171533435583115,0.5413587689399719,-0.44258642196655273,0.9908345341682434,-0.2154863327741623,0.5270962715148926,-0.16124899685382843,0.9558625221252441,0.0700487419962883,0.5864478945732117,-0.4474222660064697,0.9836015701293945,-0.20257584750652313,0.577849805355072,-0.16933798789978027,0.9624450206756592,-0.003765240777283907,0.6603808999061584,-0.5573841333389282,0.9913728833198547,-0.30456629395484924,0.6574354767799377,-0.24781407415866852,0.9740046858787537
dataset\badform\12.jpg,1,-0.45173266530036926,-0.37826794385910034,-0.1614939421415329,0.999963104724884,-0.45147064328193665,-0.4209946393966675,-0.18058368563652039,0.999977171421051,-0.4511101245880127,-0.42148926854133606,-0.17967432737350464,0.9999843239784241,-0.4515034556388855,-0.4215603470802307,-0.17983444035053253,0.9999820590019226,-0.45986881852149963,-0.41496923565864563,-0.14511336386203766,0.9999540448188782,-0.4601062834262848,-0.4156162738800049,-0.14671151340007782,0.999961256980896,-0.4611488878726959,-0.4167737364768982,-0.1454150676727295,0.9999569654464722,-0.33405816555023193,-0.4641796350479126,-0.19654443860054016,0.9999925494194031,-0.3901064097881317,-0.4458582103252411,-0.0532529391348362,0.9999822378158569,-0.3938629925251007,-0.38111796975135803,-0.16656826436519623,0.9999943971633911,-0.40946123003959656,-0.37400615215301514,-0.12331442534923553,0.9999693632125854,-0.08369122445583344,-0.40519389510154724,-0.1348055899143219,0.999997615814209,-0.3584805727005005,-0.34847915172576904,0.04357355087995529,0.9998690485954285,0.14304660260677338,-0.4001833200454712,-0.2872893810272217,0.9981584548950195,-0.46186959743499756,-0.3533696234226227,0.29393813014030457,0.8243381381034851,0.19624412059783936,-0.47024840116500854,-0.4289489686489105,0.9863903522491455,-0.6536126136779785,-0.39404869079589844,0.4502684473991394,0.9111248850822449,0.21415473520755768,-0.4944421052932739,-0.4451841711997986,0.9593216776847839,-0.682202160358429,-0.40540504455566406,0.48082593083381653,0.8511176109313965,0.19860272109508514,-0.4873831570148468,-0.4562738835811615,0.9587339162826538,-0.6896362900733948,-0.4007256329059601,0.47645825147628784,0.8449316024780273,0.1921050250530243,-0.467381089925766,-0.43650954961776733,0.9410260319709778,-0.6596508026123047,-0.3923422396183014,0.4523274600505829,0.8356655836105347,0.10120366513729095,-0.02389763481914997,-0.06760385632514954,0.999953031539917,-0.10228212177753448,0.023597219958901405,0.0682063028216362,0.9998912811279297,-0.04218129813671112,0.19362980127334595,-0.40524807572364807,0.9960371255874634,-0.3138923943042755,0.11798214167356491,-0.138340562582016,0.9798665642738342,0.048607807606458664,0.5115513205528259,-0.4275987148284912,0.9913080334663391,-0.21656815707683563,0.47156545519828796,-0.13670766353607178,0.9576184749603271,0.0693974643945694,0.5547779202461243,-0.4298642873764038,0.9840248823165894,-0.2048482745885849,0.5240082740783691,-0.14163129031658173,0.9635103344917297,-0.0031322306022047997,0.6206810474395752,-0.5422369837760925,0.991642951965332,-0.3143192231655121,0.6115648150444031,-0.2141021341085434,0.9748106598854065
dataset\badform\120.jpg,1,-0.42900368571281433,-0.38373637199401855,-0.15787899494171143,0.9999657273292542,-0.42477911710739136,-0.425916850566864,-0.1776650846004486,0.99997878074646,-0.42442262172698975,-0.42636609077453613,-0.17671774327754974,0.9999854564666748,-0.42483606934547424,-0.426537424325943,-0.1768132895231247,0.9999833106994629,-0.4351620376110077,-0.4223913252353668,-0.14240451157093048,0.999957263469696,-0.43550971150398254,-0.42292630672454834,-0.14411364495754242,0.9999640583992004,-0.43644416332244873,-0.42400771379470825,-0.14277124404907227,0.9999600648880005,-0.30718109011650085,-0.4665437936782837,-0.19298934936523438,0.999993085861206,-0.3705383539199829,-0.45628735423088074,-0.051987357437610626,0.9999836683273315,-0.3728819787502289,-0.38471007347106934,-0.16239798069000244,0.9999948143959045,-0.390308141708374,-0.37999722361564636,-0.11993749439716339,0.9999717473983765,-0.07011180371046066,-0.4037047326564789,-0.13145172595977783,0.9999977350234985,-0.3430057466030121,-0.3566325008869171,0.04766841605305672,0.9998751878738403,0.1557689607143402,-0.39419984817504883,-0.28605207800865173,0.9982560873031616,-0.43086549639701843,-0.35366320610046387,0.3037755787372589,0.826420247554779,0.19292835891246796,-0.4683743417263031,-0.444754958152771,0.9869696497917175,-0.6124210357666016,-0.395304799079895,0.4846723675727844,0.9131355881690979,0.20176635682582855,-0.49175336956977844,-0.4645373523235321,0.9605187773704529,-0.6385666728019714,-0.40692275762557983,0.5185552835464478,0.8522322177886963,0.17994506657123566,-0.4854239821434021,-0.4733870327472687,0.9600074887275696,-0.6528931260108948,-0.3994280695915222,0.5221607685089111,0.845685601234436,0.18416287004947662,-0.466403990983963,-0.4514145255088806,0.9427528977394104,-0.6205075979232788,-0.39313843846321106,0.4915213882923126,0.836183488368988,0.10118645429611206,-0.023043658584356308,-0.06751905381679535,0.999952495098114,-0.10227646678686142,0.02276899293065071,0.06806197762489319,0.9998908042907715,-0.0572686642408371,0.19307586550712585,-0.40464770793914795,0.9961196780204773,-0.316228449344635,0.1176714077591896,-0.15245330333709717,0.9803915619850159,0.04933943599462509,0.5104406476020813,-0.4227191209793091,0.991653561592102,-0.21728502213954926,0.4820253551006317,-0.16478200256824493,0.9591477513313293,0.07075721770524979,0.5539601445198059,-0.4250972867012024,0.9844127893447876,-0.20519427955150604,0.5365056395530701,-0.1702255755662918,0.9643521308898926,-0.0032582504209131002,0.6237634420394897,-0.5295855402946472,0.991827130317688,-0.3149663805961609,0.6246652603149414,-0.2439272552728653,0.9755536913871765
dataset\badform\121.jpg,1,-0.4276174306869507,-0.37813514471054077,-0.1633102148771286,0.9999684691429138,-0.4239959418773651,-0.42161378264427185,-0.17826087772846222,0.9999804496765137,-0.4236370027065277,-0.4220832586288452,-0.17726793885231018,0.9999865293502808,-0.4240643084049225,-0.4221492409706116,-0.17737849056720734,0.9999845027923584,-0.4351107180118561,-0.41493022441864014,-0.1459093987941742,0.9999607801437378,-0.4354458153247833,-0.41536691784858704,-0.14760279655456543,0.9999669194221497,-0.4363984763622284,-0.4164658188819885,-0.14618422091007233,0.9999633431434631,-0.3072209656238556,-0.46561503410339355,-0.17598870396614075,0.9999935626983643,-0.3859177529811859,-0.4415920078754425,-0.05139641463756561,0.9999850392341614,-0.3716282248497009,-0.3810235261917114,-0.1608697474002838,0.9999951720237732,-0.389970064163208,-0.37249094247817993,-0.12151617556810379,0.9999739527702332,-0.07585574686527252,-0.401967316865921,-0.09887358546257019,0.9999973773956299,-0.3466693162918091,-0.35577648878097534,0.05730711296200752,0.9998757243156433,0.14231958985328674,-0.39504119753837585,-0.2566499412059784,0.998241662979126,-0.42861679196357727,-0.3662796914577484,0.3175300657749176,0.8152708411216736,0.10882531851530075,-0.468828946352005,-0.39116543531417847,0.9851017594337463,-0.6196969747543335,-0.40337204933166504,0.48414891958236694,0.9090113639831543,0.10610271245241165,-0.49124354124069214,-0.4040120244026184,0.9542932510375977,-0.6482681632041931,-0.4101395905017853,0.5135849714279175,0.8470888733863831,0.07789834588766098,-0.4845365583896637,-0.40019190311431885,0.9541477560997009,-0.6578349471092224,-0.4001539349555969,0.5098479986190796,0.8412510752677917,0.09364785254001617,-0.4666212499141693,-0.39104869961738586,0.9360474348068237,-0.6270797848701477,-0.39860594272613525,0.4881914556026459,0.8325095176696777,0.10085100680589676,-0.023108314722776413,-0.06736709177494049,0.999951958656311,-0.10195212811231613,0.022822793573141098,0.06791076064109802,0.9998878836631775,-0.0873819887638092,0.16355060040950775,-0.4056147336959839,0.9962227940559387,-0.3173273801803589,0.10866488516330719,-0.15246784687042236,0.9803994297981262,0.04967780038714409,0.4714966416358948,-0.4159531593322754,0.9920549392700195,-0.21752622723579407,0.4717022180557251,-0.16405844688415527,0.9603508710861206,0.07321590185165405,0.5134490132331848,-0.41658762097358704,0.9846701622009277,-0.20621226727962494,0.5248376131057739,-0.16913002729415894,0.9643639326095581,0.006175804417580366,0.5949199795722961,-0.5150166153907776,0.9921718239784241,-0.305990993976593,0.6222056150436401,-0.24317306280136108,0.9758355617523193
dataset\badform\122.jpg,1,-0.42863428592681885,-0.35161903500556946,-0.19240790605545044,0.9999710321426392,-0.4281061589717865,-0.39633676409721375,-0.20230668783187866,0.9999820590019226,-0.4277750849723816,-0.39685943722724915,-0.20143046975135803,0.9999875426292419,-0.42821043729782104,-0.3968910574913025,-0.20162643492221832,0.9999856948852539,-0.44193339347839355,-0.38475844264030457,-0.17231157422065735,0.9999639391899109,-0.44220441579818726,-0.385206401348114,-0.17401686310768127,0.9999694228172302,-0.44319552183151245,-0.386385440826416,-0.17252154648303986,0.9999662041664124,-0.31854012608528137,-0.4529768228530884,-0.18024487793445587,0.9999940395355225,-0.40663349628448486,-0.40805783867836,-0.06031438335776329,0.9999862313270569,-0.3730637729167938,-0.36106225848197937,-0.1822788119316101,0.9999955296516418,-0.39473044872283936,-0.3461137115955353,-0.14587143063545227,0.9999759793281555,-0.0916719138622284,-0.39643394947052,-0.0993569865822792,0.9999974370002747,-0.36498454213142395,-0.3370233476161957,0.05385617911815643,0.9998793005943298,0.13040082156658173,-0.3908492624759674,-0.25722840428352356,0.9982833862304688,-0.44894853234291077,-0.3603326380252838,0.30028268694877625,0.8118852376937866,0.12063666433095932,-0.4687744081020355,-0.3919719159603119,0.9848870038986206,-0.6531058549880981,-0.40185847878456116,0.4251307547092438,0.9055953025817871,0.12495628744363785,-0.49298638105392456,-0.40508005023002625,0.9530686736106873,-0.684063196182251,-0.4086982309818268,0.452857106924057,0.8399732708930969,0.1001584604382515,-0.48517873883247375,-0.40577033162117004,0.95315021276474,-0.6948575973510742,-0.3975851833820343,0.4413074254989624,0.8348473310470581,0.10947958379983902,-0.466448038816452,-0.3934461176395416,0.9349035620689392,-0.6612082123756409,-0.39626196026802063,0.4235627055168152,0.8279949426651001,0.10080064833164215,-0.024476591497659683,-0.06686858832836151,0.9999521374702454,-0.10189712047576904,0.02416260540485382,0.06745000183582306,0.9998849034309387,-0.08950810879468918,0.15661148726940155,-0.41094550490379333,0.9962072968482971,-0.3186284005641937,0.10799874365329742,-0.16733860969543457,0.9798036217689514,0.05170421302318573,0.471771776676178,-0.41716864705085754,0.9921018481254578,-0.2215004414319992,0.46612757444381714,-0.1746748387813568,0.9600226879119873,0.07687477767467499,0.5146194696426392,-0.4179953634738922,0.9833504557609558,-0.20908351242542267,0.5180020928382874,-0.1784849464893341,0.9634637236595154,0.019073814153671265,0.593203067779541,-0.515442967414856,0.992091715335846,-0.30759909749031067,0.6168540716171265,-0.2574717402458191,0.9756461381912231
